City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,saipan,15.1355,145.701,305.54,58,40,6.17,MP,1715134938
224,choibalsan,48.0667,114.5,285.48,30,92,10.71,MN,1715135329
225,minas de marcona,-15.2119,-75.1103,287.95,89,92,7.6,PE,1715135045
226,salinopolis,-0.6136,-47.3561,299.6,87,100,3.87,BR,1715135329
227,luninyets,52.2472,26.8047,276.33,82,0,0.7,BY,1715135329
228,boguchany,58.3814,97.4531,279.74,63,100,3.13,RU,1715135001
229,aasiaat,68.7098,-52.8699,267.94,97,100,4.03,GL,1715134996
230,saint-francois,46.4154,3.9054,283.51,94,0,2.57,FR,1715135330
231,shihezi,44.3,86.0333,297.05,39,60,0.79,CN,1715135330
232,la passe,45.5549,-0.8967,284.81,91,0,3.04,FR,1715135028
233,la tuque,47.4334,-72.7824,283.29,53,15,3.09,CA,1715134947
234,kimberley,-28.7323,24.7623,287.98,44,0,4.63,ZA,1715135331
235,mount gambier,-37.8333,140.7667,290.3,53,0,2.75,AU,1715134959
236,ivrindi,39.5839,27.4864,281.5,76,99,0.44,TR,1715135331
237,forst,51.7333,14.6333,283.09,82,100,3.3,DE,1715135332
238,saldanha,-33.0117,17.9442,286.18,87,0,2.74,ZA,1715135044
239,flying fish cove,-10.4217,105.6791,297.97,100,75,8.75,CX,1715135030
240,urangan,-25.3,152.9,296.04,81,3,4.02,AU,1715135332
241,whitehorse,60.7161,-135.0538,280.58,42,100,8.75,CA,1715134918
242,chonchi,-42.6128,-73.8092,277.1,90,84,1.03,CL,1715134817
243,fort bragg,35.139,-79.006,299.16,77,0,2.57,US,1715134962
244,basoko,1.2391,23.616,296.13,94,71,0.97,CD,1715135333
245,karanpur,29.8419,73.4542,306.23,14,0,3.86,IN,1715135333
246,akureyri,65.6835,-18.0878,277.11,60,75,5.66,IS,1715134969
247,angaur state,6.906,134.13,301.68,75,100,4.38,PW,1715134982
248,avsallar,36.616,31.7806,290.64,41,2,2.04,TR,1715135334
249,saint-pierre,-21.3393,55.4781,293.97,60,0,3.09,RE,1715135335
250,yamada,39.4667,141.95,282.89,81,90,2.92,JP,1715135040
251,corner brook,48.9667,-57.9484,279.24,92,100,1.26,CA,1715134827
252,puerto baquerizo moreno,-0.9,-89.6,296.51,92,90,4.12,EC,1715134808
253,linton,39.0348,-87.1658,297.79,94,0,3.01,US,1715135336
254,vila velha,-20.3297,-40.2925,297.12,94,75,0.0,BR,1715134935
255,magadi,12.9667,77.2333,298.28,64,51,1.57,IN,1715135336
256,muisne,0.6,-80.0333,299.04,83,96,4.74,EC,1715135336
257,lebu,-37.6167,-73.65,280.51,77,6,1.63,CL,1715134659
258,aktau,43.65,51.2,286.47,88,99,15.0,KZ,1715135337
259,la ronge,55.1001,-105.2842,283.29,53,75,3.6,CA,1715134926
260,fort mcmurray,56.7268,-111.381,283.92,93,100,2.57,CA,1715135007
261,enterprise,36.0252,-115.2419,301.45,13,20,5.14,US,1715135222
262,chegdomyn,51.1167,133.0167,292.44,26,67,3.36,RU,1715135338
263,atlantic city,39.3643,-74.4229,290.38,92,100,1.79,US,1715135338
264,borovichi,58.3878,33.9155,269.83,88,37,2.68,RU,1715135338
265,lagunas,-5.2269,-75.6753,298.31,90,90,0.9,PE,1715135338
266,shizuishan,39.2333,106.7694,296.15,32,78,5.84,CN,1715135339
267,barcelos,41.5388,-8.6151,290.75,70,100,2.88,PT,1715135339
268,nhamunda,-2.1861,-56.7131,297.28,98,100,0.93,BR,1715135339
269,pico truncado,-46.7949,-67.9573,271.93,97,88,3.61,AR,1715135339
270,pauini,-7.7136,-66.9764,296.81,97,57,1.21,BR,1715135017
271,acarau,-2.8856,-40.12,298.84,90,85,4.51,BR,1715134947
272,crucecita,-28.95,-58.9833,300.33,65,100,4.41,AR,1715135340
273,tidjikja,18.5564,-11.4271,304.06,9,0,4.21,MR,1715135340
274,nicoya,10.1483,-85.452,301.5,77,93,1.51,CR,1715135341
275,kapa'a,22.0752,-159.319,301.14,71,40,5.66,US,1715134942
276,antalaha,-14.9003,50.2788,296.66,88,96,4.79,MG,1715135341
277,meizhou,24.2977,116.1072,297.59,82,100,1.0,CN,1715135257
278,opuwo,-18.0607,13.84,289.23,54,0,1.38,NA,1715135342
279,necocli,8.4234,-76.786,300.03,90,100,1.92,CO,1715135342
280,inhambane,-23.865,35.3833,294.7,74,2,1.36,MZ,1715135342
281,canitas de felipe pescador,23.6,-102.7167,297.42,14,100,4.06,MX,1715135342
282,iskateley,67.6803,53.1512,262.05,97,96,4.02,RU,1715134879
283,flin flon,54.7682,-101.865,287.05,43,100,5.76,CA,1715135077
284,bontang,0.1333,117.5,300.71,83,99,1.1,ID,1715135343
285,san juan,-31.5375,-68.5364,290.61,15,14,2.49,AR,1715135260
286,essaouira,31.5125,-9.77,290.87,72,74,3.09,MA,1715135043
287,okayama,34.6617,133.935,290.78,59,75,2.57,JP,1715135249
288,anadyr,64.75,177.4833,266.43,67,75,2.0,RU,1715134921
289,bechar,31.6167,-2.2167,297.33,10,0,2.06,DZ,1715135344
290,kolonia,50.9333,6.95,286.51,88,40,1.03,DE,1715134962
291,okahao,-17.885,15.0667,293.37,38,1,3.5,NA,1715135345
292,nacala,-14.5428,40.6728,294.91,94,6,3.13,MZ,1715135345
293,camabatela,-8.1881,15.375,291.28,59,73,1.79,AO,1715135345
294,gadzhiyevo,69.2551,33.3362,270.14,80,100,3.43,RU,1715134923
295,lensk,60.7253,114.9278,276.68,66,99,5.87,RU,1715135031
296,black forest,39.0131,-104.7008,282.15,34,0,5.66,US,1715135346
297,carolina beach,34.0352,-77.8936,297.63,90,14,6.3,US,1715135228
298,mwandiga,-4.83,29.6581,295.57,83,95,3.1,TZ,1715135346
299,kingston,17.997,-76.7936,301.68,84,20,3.09,JM,1715134758
300,nizhneangarsk,55.7833,109.55,275.37,68,37,2.24,RU,1715135347
301,galliano,29.4422,-90.2992,300.15,83,100,3.09,US,1715135014
302,kone,-21.0595,164.8658,300.72,43,0,6.95,NC,1715135018
